Caption
*= Percentage change/share/price not interpretable or not calculable
**= Percentage change > 999.9 %
***= Provisional data

91 - Clocks and watches and parts thereof
Period	Commercial partner	Export	
		Value (CHF)	
	                  Gambia	1,850	
	                  Germany	491,088,419	
	                  Ghana	101,102	
	                  Gibraltar	2,180,742	
	                  Greece	33,238,568	
	                  Grenada	400	
	                  Guadeloupe	537,991	
	                  Guatemala	564,082	
	                  Guiana, French	58,334	
	                  Guinea	533,138	
	                  Guyana	717	
	                  Haiti	210,981	
	                  Honduras	150,038	
	                  Hong Kong	1,043,190,910	
	                  Hungary	7,153,969	
	                  Iceland	3,663,001	
	                  India	24,295,185	
	                  Indonesia	488,815	
	                  Iran	3,545,852	
	                  Iraq	11,623,800	
	                  Ireland	3,001,345	
	                  Israel	10,264,032	
	                  Italy	634,252,202	
	                  Jamaica	3,391,904	
	                  Japan	442,884,653	
	                  Jordan	2,654,549	
	                  Kenya	1,850,556	
	                  Kiribati	30,526	
	                  Korea (North)	880,528	
	                  Korea (South)	39,393,256	
	                  Kuwait	22,907,599	
	                  Lebanon	9,165,899	
	                  Lesotho	363	
	                  Liberia	378,643	
	                  Libya	2,867,132	
	                  Macau	402,242	
	                  Madagascar	68,200	
	                  Malawi	75,957	
	                  Malaysia	45,979,511	
	                  Maldives	168,896	
	                  Mali	42,102	
	                  Malta	998,122	
	                  Martinique	224,709	
	                  Mauritania	600	
	                  Mauritius	4,591,891	
	                  Mexico	24,755,919	
	                  Miquelon	59,147	
	                  Montserrat	65,625	
	                  Morocco	2,857,661	
	                  Mozambique	22,744	
	                  Myanmar	13,435	
	                  Namibia	1,202,878	
	                  Nepal	118,101	
	                  Netherlands	55,622,715	
	                  New Zealand	3,240,167	
	                  Nicaragua	8,705	
	                  Niger	12,726	
	                  Nigeria	2,409,160	
	                  Norway	15,788,059	
	                  Oman	10,459,360	
	                  Pakistan	11,044,788	
	                  Panama	19,953,450	
	                  Papua	49,957	
	                  Paraguay	2,042,880	
	                  Peru	314,040	
	                  Philippines	9,228,996	
	                  Poland	6,901,721	
	                  Polynesia, Fr.	418,808	
	                  Portugal	20,264,796	
	                  Qatar	37,373,239	
	                  Réunion	216,155	
	                  Romania	100,848	
	                  Rwanda	1,100	
	                  Saudi Arabia	120,547,657	
	                  Senegal	242,535	
	                  Seychelles	6,855	
	                  Sierra Leone	5,325	
	                  Singapore	301,460,765	
	                  Somalia	20,159	
	                  South Africa	12,922,999	
	                  Spain	150,273,265	
	                  Sri Lanka	313,570	
	                  St Kitts	268,846	
	                  St Lucia	48,023	
	                  St Vincent	16,950	
	                  Sudan	174,900	
	                  Suriname	66,600	
	                  Swaziland	5,913	
	                  Sweden	44,886,735	
	                  Syria	2,749,388	
	                  Taiwan	135,785,265	
	                  Tanzania	475,658	
	                  Thailand	125,105,008	
	                  Togo	144,538	
	                  Trinidad	127,374	
	                  Tunisia	988,987	
	                  Turkey	17,391,715	
	                  Turks	56,245	
	                  Uganda	212,260	
	                  United Kingdom	268,537,073	
	                  Uruguay	757,806	
	                  USA	839,795,416	
	                  Vanuatu	71,887	
	                  Venezuela	8,800,372	
	                  Viet Nam	467,480	
	                  Zambia	484,139	
	                  Zimbabwe	184,481	
1990	                  Afghanistan	423,026	
	                  Albania	10,364	
	                  Algeria	232,152	
	                  Amer. Virgin	31,158,274	
	                  Andorra	2,805,842	
	                  Angola	1,019,639	
	                  Anguilla	42,497	
	                  Antarctica	11,800	
	                  Antigua	30,476	
	                  Argentina	5,268,201	
	                  Australia	42,284,428	
	                  Austria	75,078,713	
	                  Bahamas	10,475,131	
	                  Bahrain	20,530,873	
	                  Bangladesh	2,600,517	
	                  Barbados	904,633	
	                  Belize	218,145	
	                  Benin	510,083	
	                  Bermuda	4,196,304	
	                  Bolivia	247,109	
	                  Botswana	29,541	
	                  Brazil	13,639,083	
	                  Brunei	11,721,664	
	                  Bulgaria	1,097,433	
	                  Burkina Faso	1,896	
	                  Burundi	42,078	
	                  Cabo Verde	2,040	
	                  Cameroon	505,555	
	                  Canada	37,606,671	
	                  Canary Islands	689,637	
	                  Cayman Islands	4,709,461	
	                  Chile	3,683,246	
	                  China	9,368,098	
	                  Colombia	5,415,462	
	                  Congo, Rep. of	195,688	
	                  Costa Rica	225,359	
	                  Côte d'Ivoire	1,112,774	
	                  Cuba	1,110,120	
	                  Cyprus	5,049,717	
	                  Denmark	22,688,959	
	                  Djibouti	759,288	
	                  Dominica	3,441	
	                  Dominican Rep.	314,029	
	                  Ecuador	679,192	
	                  Egypt	5,301,369	
	                  El Salvador	127,754	
	                  Emirates, Arab	74,461,792	
	                  Ethiopia	38,041	
	                  Fiji	297,149	
	                  Finland	14,844,328	
	                  France	444,119,233	
	                  Gabon	991,732	
	                  Gambia	4,854	
	                  Germany	589,130,175	
	                  Ghana	92,556	
	                  Gibraltar	2,405,330	
	                  Greece	35,078,478	
	                  Grenada	3,308	
	                  Guadeloupe	636,328	
	                  Guatemala	509,346	
	                  Guiana, French	129,926	
	                  Guinea	39,751	
	                  Guyana	19,715	
	                  Haiti	88,662	
	                  Honduras	241,609	
	                  Hong Kong	1,135,767,782	
	                  Hungary	5,912,850	
	                  Iceland	3,726,462	
	                  India	14,051,623	
	                  Indonesia	2,123,241	
	                  Iran	2,754,265	
	                  Iraq	2,808,551	
	                  Ireland	3,132,387	
	                  Israel	10,488,062	
	                  Italy	714,633,490	
	                  Jamaica	3,503,024	
	                  Japan	616,201,644	
	                  Jordan	1,907,245	
	                  Kenya	2,848,799	
	                  Kiribati	59,188	
	                  Korea (North)	1,077,722	
	                  Korea (South)	34,713,202	
	                  Kuwait	14,739,272	
	                  Lebanon	9,857,128	
	                  Lesotho	6,298	
	                  Liberia	245,384	
	                  Libya	1,395,271	
	                  Macau	156,412	
	                  Madagascar	144,897	
	                  Malawi	70,441	
	                  Malaysia	47,453,072	
	                  Maldives	120,373	
	                  Mali	44,336	
	                  Malta	918,255	
	                  Martinique	355,596	
	                  Mauritius	3,954,890	
	                  Mexico	28,333,791	
	                  Mongolia	20,160	
	                  Montserrat	43,859	
	                  Morocco	4,086,280	
	                  Mozambique	57,980	
	                  Myanmar	10,161	
	                  Namibia	485,112	
	                  Nauru	1,481	
	                  Netherlands	60,758,522	
	                  New Zealand	2,700,367	
	                  Nicaragua	119,968	
	                  Niger	79,494	
	                  Nigeria	1,682,033	
	                  Norway	17,621,673	
	                  Oman	12,307,549	
	                  Pakistan	8,975,634	
	                  Panama	16,203,052	
	                  Papua	4,884	
	                  Paraguay	1,362,448	
	                  Peru	178,551	
	                  Philippines	4,763,337	
	                  Pitcairn Isl.	29,256	
	                  Poland	7,166,328	
	                  Polynesia, Fr.	442,738	
	                  Portugal	27,440,121	
	                  Qatar	52,165,173	
	                  Réunion	250,210	
	                  Romania	1,623,018	
	                  Rwanda	500	
	                  Saudi Arabia	107,096,322	
	                  Senegal	165,749	
	                  Seychelles	49,705	
	                  Sierra Leone	26,635	
	                  Singapore	395,494,259	
	                  Somalia	23,893	
	                  South Africa	11,075,394	
	                  Spain	181,747,462	
	                  Sri Lanka	524,101	
	                  St Kitts	1,354	
	                  St Lucia	38,206	
	                  St Vincent	20,724	
	                  Sudan	110,830	
	                  Suriname	16,465	
	                  Sweden	48,241,071	
	                  Syria	3,188,938	
	                  Taiwan	160,623,100	
	                  Tanzania	916,495	
	                  Thailand	145,146,219	
	                  Togo	104,871	
	                  Trinidad	217,537	
	                  Tunisia	1,216,677	
	                  Turkey	21,688,417	
	                  Uganda	459,363	
	                  United Kingdom	295,994,826	
	                  Uruguay	903,241	
	                  USA	903,892,082	
	                  Vanuatu	104,333	
	                  Venezuela	9,526,652	
	                  Viet Nam	186,304	
	                  Zambia	219,658	
	                  Zimbabwe	164,859	
1991	                  Afghanistan	408,436	
	                  Albania	1,525	
	                  Algeria	688,190	
	                  Amer. Virgin	25,786,424	
	                  Andorra	3,475,209	
	                  Angola	787,939	
	                  Anguilla	29,405	
	                  Antigua	77,661	
	                  Argentina	7,585,923	
	                  Australia	47,139,094	
	                  Austria	92,153,072	
	                  Bahamas	15,225,712	
	                  Bahrain	24,878,656	
	                  Bangladesh	455,502	
	                  Barbados	743,284	
	                  Belize	364,432	
	                  Benin	161,646	
	                  Bermuda	2,088,851	
	                  Bolivia	3,211,468	
	                  Botswana	20,946	
	                  Brazil	12,523,607	
	                  Brunei	2,319,360	
	                  Bulgaria	1,203,639	
	                  Burkina Faso	73,200	
	                  Burundi	3,066	
	                  Cabo Verde	10,075	
	                  Cameroon	360,528	
	                  Canada	41,069,723	
	                  Canary Islands	558,083	
	                  Cayman Islands	3,411,815	
	                  Chile	5,903,048	
	                  China	10,424,423	
	                  Colombia	13,685,275	
	                  Congo, Rep. of	102,365	
	                  Costa Rica	160,822	
	                  Côte d'Ivoire	1,153,266	
	                  Cuba	337,108	
	                  Cyprus	4,742,803	
	                  Denmark	22,831,108	
	                  Djibouti	39,758	
	                  Dominica	17,818	
	                  Dominican Rep.	475,177	
	                  Ecuador	879,077	
	                  Egypt	5,657,936	
	                  El Salvador	141,231	
	                  Emirates, Arab	109,861,537	
	                  Ethiopia	60,964	
	                  Fiji	361,927	
	                  Finland	11,262,974	
	                  France	393,444,095	
	                  Gabon	435,134	
	                  Gambia	5,000	
	                  Germany	660,115,010	
	                  Ghana	212,094	
