Caption
*= Percentage change/share/price not interpretable or not calculable
**= Percentage change > 999.9 %
***= Provisional data

91 - Clocks and watches and parts thereof
Period	Commercial partner	Export	
		Value (CHF)	
	                  Panama	24,617,538	
	                  Papua	59,470	
	                  Paraguay	17,300,066	
	                  Peru	280,430	
	                  Philippines	5,679,507	
	                  Poland	10,738,776	
	                  Polynesia, Fr.	469,719	
	                  Portugal	42,276,472	
	                  Qatar	23,373,028	
	                  Réunion	136,393	
	                  Romania	585,389	
	                  Russia	35,230,019	
	                  Rwanda	13,990	
	                  Saudi Arabia	119,195,336	
	                  Senegal	75,196	
	                  Serbia	21,444	
	                  Seychelles	155,471	
	                  Sierra Leone	6,553	
	                  Singapore	396,277,869	
	                  Slovakia	481,191	
	                  Slovenia	1,722,783	
	                  Somalia	64,524	
	                  South Africa	9,572,976	
	                  Spain	160,481,957	
	                  Sri Lanka	1,085,478	
	                  St Kitts	24,168	
	                  Sudan	5,040	
	                  Suriname	1,742	
	                  Sweden	36,748,961	
	                  Syria	1,929,924	
	                  Taiwan	217,832,924	
	                  Tanzania	154,362	
	                  Thailand	239,825,214	
	                  Togo	170,611	
	                  Trinidad	202,788	
	                  Tunisia	208,146	
	                  Turkey	27,373,500	
	                  Turks	116,567	
	                  Uganda	46,800	
	                  Ukraine	855,475	
	                  United Kingdom	330,350,087	
	                  Uruguay	7,586,054	
	                  USA	963,946,777	
	                  Uzbekistan	22,738	
	                  Vanuatu	25,642	
	                  Venezuela	6,996,759	
	                  Viet Nam	691,732	
	                  Yemen	890,783	
	                  Zambia	142,912	
	                  Zimbabwe	291,251	
1996	                  Afghanistan	66,038	
	                  Albania	60,115	
	                  Algeria	289,630	
	                  Amer. Virgin	23,994,075	
	                  Andorra	2,340,873	
	                  Angola	166,316	
	                  Anguilla	267,361	
	                  Antigua	255,317	
	                  Argentina	11,416,251	
	                  Australia	64,902,093	
	                  Austria	110,332,423	
	                  Azerbaijan	69,785	
	                  Bahamas	11,192,093	
	                  Bahrain	22,922,255	
	                  Bangladesh	1,158,531	
	                  Barbados	1,195,223	
	                  Belarus	925,037	
	                  Belize	1,017,704	
	                  Benin	55,729	
	                  Bermuda	2,251,514	
	                  BIOT	24,433	
	                  Bolivia	636,351	
	                  Bosnia-Herzeg.	136,313	
	                  Botswana	300	
	                  Brazil	31,008,419	
	                  Brunei	6,624,699	
	                  Bulgaria	1,466,794	
	                  Burkina Faso	12,902	
	                  Cabo Verde	12,246	
	                  Cambodia	207,902	
	                  Cameroon	537,728	
	                  Canada	37,971,612	
	                  Canary Islands	49,570	
	                  Cayman Islands	4,350,789	
	                  Central Africa	3,968	
	                  Chile	7,410,407	
	                  China	7,485,106	
	                  Colombia	5,176,238	
	                  Comoros	1,367	
	                  Congo, Rep. of	120,094	
	                  Costa Rica	1,677,715	
	                  Côte d'Ivoire	1,402,778	
	                  Croatia	1,450,918	
	                  Cuba	95,107	
	                  Cyprus	4,526,224	
	                  Czech Republic	4,837,747	
	                  Denmark	31,224,502	
	                  Djibouti	28,946	
	                  Dominica	11,024	
	                  Dominican Rep.	1,115,029	
	                  Ecuador	927,864	
	                  Egypt	9,093,203	
	                  El Salvador	78,281	
	                  Emirates, Arab	151,755,168	
	                  Estonia	318,442	
	                  Ethiopia	60,483	
	                  Fiji	200,043	
	                  Finland	10,823,176	
	                  France	408,027,497	
	                  Gabon	1,952,503	
	                  Gambia	25,840	
	                  Germany	617,337,028	
	                  Ghana	33,325	
	                  Gibraltar	652,655	
	                  Greece	47,651,853	
	                  Guadeloupe	1,157,582	
	                  Guatemala	713,780	
	                  Guiana, French	41,333	
	                  Guinea	48,183	
	                  Guinea-Bissau	10,554	
	                  Haiti	36,905	
	                  Honduras	358,441	
	                  Hong Kong	1,324,324,761	
	                  Hungary	4,979,152	
	                  Iceland	2,504,803	
	                  India	8,346,742	
	                  Indonesia	5,113,576	
	                  Iran	5,382,190	
	                  Ireland	4,631,557	
	                  Israel	25,740,614	
	                  Italy	580,718,814	
	                  Jamaica	6,706,989	
	                  Japan	762,307,307	
	                  Jordan	6,460,575	
	                  Kazakhstan	318,446	
	                  Kenya	1,203,230	
	                  Korea (North)	3,468,026	
	                  Korea (South)	55,169,496	
	                  Kuwait	22,120,841	
	                  Kyrgyz, Rep.	42,524	
	                  Latvia	580,366	
	                  Lebanon	12,094,283	
	                  Liberia	1,248,076	
	                  Libya	985,419	
	                  Lithuania	739,013	
	                  Macedonia	461,638	
	                  Madagascar	90,917	
	                  Malawi	7,837	
	                  Malaysia	40,996,456	
	                  Maldives	488,935	
	                  Mali	53,162	
	                  Malta	2,193,458	
	                  Martinique	157,428	
	                  Mauritius	5,416,909	
	                  Mexico	21,266,154	
	                  Mongolia	625,836	
	                  Morocco	4,447,366	
	                  Mozambique	16,083	
	                  Myanmar	155,557	
	                  Namibia	332,988	
	                  Nepal	720,585	
	                  Netherlands	67,052,832	
	                  New Zealand	1,731,368	
	                  Nicaragua	7,882	
	                  Niger	9,081	
	                  Nigeria	2,001,380	
	                  Norway	22,099,971	
	                  Oman	10,009,425	
	                  Pakistan	16,228,295	
	                  Panama	27,403,707	
	                  Papua	52,186	
	                  Paraguay	17,440,568	
	                  Peru	443,175	
	                  Philippines	7,850,344	
	                  Poland	9,702,697	
	                  Polynesia, Fr.	519,771	
	                  Portugal	43,093,137	
	                  Qatar	25,279,042	
	                  Réunion	114,769	
	                  Romania	902,026	
	                  Russia	36,511,160	
	                  Sao Tomé	2,114	
	                  Saudi Arabia	126,387,922	
	                  Serbia	977,260	
	                  Seychelles	176,591	
	                  Sierra Leone	10,089	
	                  Singapore	413,077,169	
	                  Slovakia	675,488	
	                  Slovenia	1,568,967	
	                  Solomon Islands	652	
	                  Somalia	28,491	
	                  South Africa	10,926,554	
	                  Spain	172,672,001	
	                  Sri Lanka	866,281	
	                  St Kitts	2,721	
	                  St Lucia	82,517	
	                  Sudan	1,600	
	                  Sweden	35,325,943	
	                  Syria	2,271,510	
	                  Taiwan	173,688,341	
	                  Tanzania	97,463	
	                  Thailand	203,246,633	
	                  Togo	1,800	
	                  Trinidad	77,502	
	                  Tunisia	597,928	
	                  Turkey	34,285,366	
	                  Turks	66,150	
	                  Uganda	116,379	
	                  Ukraine	3,003,258	
	                  United Kingdom	346,171,723	
	                  Uruguay	9,685,226	
	                  USA	1,044,321,058	
	                  Uzbekistan	259,129	
	                  Vanuatu	45,743	
	                  Venezuela	5,281,482	
	                  Viet Nam	457,457	
	                  Yemen	1,269,802	
	                  Zambia	179,034	
	                  Zimbabwe	77,834	
1997	                  Albania	92,647	
	                  Algeria	543,959	
	                  Am. Oceania	14,218,514	
	                  Amer. Virgin	41,145,993	
	                  Andorra	3,598,622	
	                  Angola	406,588	
	                  Anguilla	1,516,470	
	                  Antarctica	1,693	
	                  Antigua	277,852	
	                  Argentina	15,927,196	
	                  Armenia	3,900	
	                  Australia	75,932,687	
	                  Austria	122,414,995	
	                  Azerbaijan	216,846	
	                  Bahamas	14,220,643	
	                  Bahrain	24,212,799	
	                  Bangladesh	4,503,282	
	                  Barbados	1,346,294	
	                  Belarus	6,102,413	
	                  Belize	727,084	
	                  Benin	271,750	
	                  Bermuda	3,210,778	
	                  Bhutan	6,840	
	                  BIOT	4,170	
	                  Bolivia	1,174,885	
	                  Bosnia-Herzeg.	153,671	
	                  Botswana	6,345	
	                  Brazil	47,905,003	
	                  Brunei	3,324,240	
	                  Bulgaria	2,210,470	
	                  Burkina Faso	28,511	
	                  Cabo Verde	15,314	
	                  Cambodia	269,312	
	                  Cameroon	341,300	
	                  Canada	43,609,159	
	                  Canary Islands	52,657	
	                  Cayman Islands	5,750,847	
	                  Chile	9,670,539	
	                  China	48,493,873	
	                  Colombia	7,170,626	
	                  Comoros	22,789	
	                  Congo, Rep. of	1,370,431	
	                  Congo (RDC)	2,610,010	
	                  Costa Rica	1,178,804	
	                  Côte d'Ivoire	565,720	
	                  Croatia	692,843	
	                  Cuba	288,296	
	                  Cyprus	5,884,386	
	                  Czech Republic	6,916,706	
	                  Denmark	33,154,084	
	                  Djibouti	65,078	
	                  Dominican Rep.	1,756,467	
	                  Ecuador	1,416,090	
	                  Egypt	9,722,922	
	                  El Salvador	264,322	
	                  Emirates, Arab	169,119,641	
	                  Eritrea	12,084	
	                  Estonia	364,858	
	                  Ethiopia	52,921	
	                  Fiji	258,400	
	                  Finland	13,898,950	
	                  France	439,182,945	
	                  Gabon	3,268,846	
	                  Gambia	936,929	
	                  Georgia	488,262	
	                  Germany	675,487,157	
	                  Ghana	234,512	
	                  Gibraltar	579,815	
	                  Greece	57,665,655	
	                  Greenland	11,900	
	                  Guadeloupe	1,807,692	
	                  Guatemala	1,206,979	
	                  Guiana, French	4,067	
	                  Guinea	26,614	
	                  Guyana	6,550	
	                  Haiti	53,096	
	                  Honduras	829,566	
	                  Hong Kong	1,390,268,758	
	                  Hungary	7,086,789	
	                  Iceland	2,742,386	
	                  India	9,462,143	
	                  Indonesia	6,875,130	
	                  Iran	7,541,697	
	                  Iraq	500	
	                  Ireland	4,467,781	
	                  Israel	23,271,934	
	                  Italy	663,641,311	
	                  Jamaica	8,812,897	
	                  Japan	732,633,398	
	                  Jordan	8,267,873	
	                  Kazakhstan	1,022,975	
	                  Kenya	1,310,851	
	                  Kiribati	90,238	
	                  Korea (North)	40,672	
	                  Korea (South)	52,222,228	
	                  Kuwait	30,850,543	
	                  Latvia	916,041	
	                  Lebanon	18,163,554	
	                  Liberia	790,810	
	                  Libya	1,010,429	
	                  Lithuania	1,132,948	
	                  Macau	148,670	
	                  Macedonia	1,516,051	
	                  Madagascar	6,243	
	                  Malawi	7,838	
	                  Malaysia	36,772,822	
	                  Maldives	638,033	
	                  Mali	16,800	
	                  Malta	1,981,732	
	                  Mariana, North.	20,163	
	                  Martinique	111,934	
	                  Mauritania	23,378	
	                  Mauritius	5,931,269	
	                  Mexico	34,541,821	
	                  Mongolia	77,729	
	                  Morocco	4,493,774	
	                  Mozambique	33,301	
	                  Myanmar	68,773	
	                  Namibia	597,068	
	                  Nepal	275,699	
	                  Netherlands	80,633,104	
	                  New Zealand	2,305,997	
	                  Nicaragua	48,073	
	                  Niger	24,200	
	                  Nigeria	3,240,248	
	                  Norway	25,544,970	
	                  Oman	28,789,511	
	                  Pakistan	17,377,354	
	                  Palestine	451,074	
	                  Panama	43,673,343	
	                  Papua	76,194	
	                  Paraguay	8,310,496	
	                  Peru	895,005	
	                  Philippines	11,820,891	
	                  Poland	15,897,818	
	                  Polynesia, Fr.	799,766	
	                  Portugal	52,993,946	
	                  Qatar	27,473,961	
	                  Réunion	168,283	
	                  Romania	1,741,779	
	                  Russia	43,453,640	
	                  Saudi Arabia	145,673,603	
	                  Senegal	21,502	
	                  Seychelles	45,769	
	                  Sierra Leone	16,589	
	                  Singapore	442,980,132	
	                  Slovakia	1,237,877	
	                  Slovenia	3,023,977	
	                  South Africa	15,478,569	
	                  Spain	208,032,922	
	                  Sri Lanka	1,243,871	
	                  St Kitts	33,496	
	                  St Lucia	15,907	
	                  St Vincent	20,027	
	                  Sudan	64,622	
	                  Suriname	2,663	
	                  Sweden	38,803,872	
	                  Syria	4,423,846	
	                  Taiwan	184,130,803	
	                  Tanzania	86,950	
	                  Thailand	191,853,615	
	                  Togo	4,488	
	                  Trinidad	132,534	
	                  Tunisia	1,356,538	
	                  Turkey	49,625,756	
	                  Turkmenistan	24,875	
	                  Turks	512,001	
	                  Uganda	119,212	
	                  Ukraine	4,862,493	
	                  United Kingdom	351,455,444	
	                  Uruguay	12,640,205	
	                  USA	1,178,661,691	
	                  Uzbekistan	99,520	
	                  Vanuatu	34,099	
	                  Venezuela	10,986,109	
	                  Viet Nam	605,850	
	                  Yemen	1,507,332	
	                  Zambia	241,677	
	                  Zimbabwe	56,697	
1998	                  Afghanistan	19,869	
	                  Albania	31,262	
	                  Algeria	916,384	
	                  Am. Oceania	6,297,496	
	                  Amer. Virgin	25,725,118	
	                  Andorra	4,009,475	
	                  Angola	259,558	
	                  Anguilla	1,918,654	
	                  Antigua	527,708	
	                  Argentina	21,496,797	
	                  Armenia	90,545	
	                  Australia	89,263,216	
	                  Austria	110,549,083	
	                  Azerbaijan	2,099,157	
	                  Bahamas	13,554,964	
	                  Bahrain	22,555,470	
	                  Bangladesh	3,599,354	
	                  Barbados	1,578,304	
	                  Belarus	4,853,112	
	                  Belize	275,527	
	                  Benin	40,173	
	                  Bermuda	3,354,645	
	                  Bhutan	107,485	
	                  Bolivia	2,129,451	
	                  Bosnia-Herzeg.	298,706	
	                  Botswana	23,850	
	                  Brazil	46,852,037	
	                  Brunei	172,349	
	                  Bulgaria	2,672,949	
	                  Burkina Faso	5,830	
	                  Cambodia	60,517	
	                  Cameroon	310,691	
	                  Canada	56,731,408	
	                  Canary Islands	118,549	
	                  Cayman Islands	7,530,069	
	                  Chile	8,593,715	
	                  China	35,549,988	
	                  Colombia	7,562,053	
	                  Comoros	64,845	
	                  Congo, Rep. of	4,338,861	
	                  Congo (RDC)	2,255,553	
	                  Costa Rica	1,181,123	
	                  Côte d'Ivoire	1,319,873	
	                  Croatia	915,776	
	                  Cuba	662,387	
	                  Cyprus	7,956,653	
	                  Czech Republic	8,207,572	
	                  Denmark	29,788,085	
	                  Djibouti	30,199	
	                  Dominican Rep.	1,745,661	
	                  Ecuador	1,953,643	
	                  Egypt	10,886,017	
	                  El Salvador	323,921	
	                  Emirates, Arab	168,181,392	
	                  Eritrea	2,205	
	                  Estonia	535,833	
	                  Ethiopia	124,151	
	                  Fiji	148,608	
	                  Finland	14,606,470	
	                  France	509,869,455	
	                  Gabon	3,937,661	
	                  Gambia	233,956	
	                  Georgia	678,737	
	                  Germany	719,067,708	
	                  Ghana	363,608	
	                  Gibraltar	789,315	
	                  Greece	59,997,663	
	                  Grenada	1,480	
	                  Guadeloupe	4,139,899	
	                  Guatemala	2,188,732	
	                  Guiana, French	41,587	
	                  Guinea	38,251	
	                  Guinea-Bissau	2,758	
	                  Guyana	11	
	                  Haiti	457,620	
	                  Honduras	1,106,001	
	                  Hong Kong	1,089,715,738	
	                  Hungary	11,950,180	
	                  Iceland	2,931,166	
	                  India	8,886,907	
	                  Indonesia	237,964	
	                  Iran	7,564,306	
	                  Ireland	5,123,465	
	                  Israel	28,485,148	
	                  Italy	785,241,094	
	                  Jamaica	9,262,326	
	                  Japan	786,692,615	
	                  Jordan	9,134,267	
	                  Kazakhstan	1,027,257	
	                  Kenya	983,114	
	                  Korea (North)	2,527,177	
	                  Korea (South)	31,811,495	
	                  Kuwait	32,068,567	
	                  Kyrgyz, Rep.	7,875	
	                  Laos	14,288	
	                  Latvia	1,104,200	
	                  Lebanon	17,439,873	
	                  Liberia	87,190	
	                  Libya	992,786	
	                  Lithuania	2,010,849	
	                  Macau	17,407	
	                  Macedonia	1,907,639	
	                  Madagascar	51,749	
	                  Malawi	46,047	
	                  Malaysia	28,007,289	
	                  Maldives	619,406	
	                  Mali	68,510	
	                  Malta	3,215,432	
	                  Mariana, North.	19,387	
	                  Martinique	97,852	
	                  Mauritania	1,945	
	                  Mauritius	5,993,930	
	                  Mexico	48,038,254	
	                  Micronesia	268	
	                  Moldova	129,923	
	                  Montserrat	44,908	
	                  Morocco	4,343,218	
	                  Mozambique	116,538	
	                  Myanmar	76,868	
	                  Namibia	386,725	
	                  Nepal	883,314	
	                  Netherlands	102,663,176	
	                  New Zealand	1,700,614	
	                  Nicaragua	3,598	
	                  Niger	11,360	
	                  Nigeria	3,459,998	
	                  Norway	23,613,694	
	                  Oman	24,977,460	
	                  Pakistan	7,517,732	
	                  Palestine	1,322,948	
	                  Panama	66,270,553	
	                  Papua	68,166	
	                  Paraguay	19,793,070	
	                  Peru	1,955,317	
	                  Philippines	8,223,906	
	                  Pitcairn Isl.	1,849,452	
	                  Poland	17,671,816	
	                  Polynesia, Fr.	1,058,608	
	                  Portugal	62,834,825	
	                  Qatar	24,841,549	
	                  Réunion	372,982	
	                  Romania	2,104,191	
	                  Russia	41,912,083	
	                  Samoa	2,598	
	                  Saudi Arabia	134,016,029	
	                  Senegal	111,685	
	                  Seychelles	87,031	
	                  Sierra Leone	66,850	
	                  Singapore	310,645,794	
	                  Slovakia	1,483,401	
	                  Slovenia	3,489,183	
	                  South Africa	14,481,506	
	                  Spain	293,842,228	
	                  Sri Lanka	808,200	
	                  St Vincent	34,642	
	                  Sudan	20,622	
	                  Sweden	35,430,893	
	                  Syria	6,169,210	
	                  Taiwan	148,864,562	
	                  Tanzania	70,880	
	                  Thailand	154,127,223	
	                  Togo	4,425	
	                  Trinidad	114,232	
	                  Tunisia	1,271,421	
	                  Turkey	50,964,660	
	                  Turkmenistan	149,295	
	                  Turks	299,699	
	                  Uganda	108,437	
	                  Ukraine	7,323,988	
	                  United Kingdom	371,071,590	
	                  Uruguay	21,208,354	
	                  USA	1,346,425,664	
	                  Uzbekistan	197,585	
	                  Venezuela	13,064,435	
	                  Viet Nam	353,346	
	                  Yemen	2,030,648	
	                  Zambia	324,102	
	                  Zimbabwe	88,159	
1999	                  Afghanistan	35,315	
	                  Albania	65,037	
	                  Algeria	555,917	
	                  Am. Oceania	6,849,370	
	                  Amer. Virgin	28,656,562	
	                  Andorra	3,909,330	
	                  Angola	114,483	
	                  Anguilla	3,813	
	                  Antigua	1,069,557	
	                  Argentina	18,461,213	
	                  Armenia	156,318	
	                  Aruba	4,196,826	
	                  Australia	104,232,556	
	                  Austria	108,435,424	
	                  Azerbaijan	730,661	
	                  Bahamas	20,255,384	
	                  Bahrain	22,666,785	
	                  Bangladesh	3,020,110	
	                  Barbados	1,056,843	
	                  Belarus	2,486,639	
	                  Belgium	101,961,591	
	                  Belize	144,511	
	                  Benin	78,778	
	                  Bermuda	4,062,512	
	                  Bhutan	101,962	
	                  Bolivia	1,653,853	
	                  Bosnia-Herzeg.	1,099,391	
	                  Botswana	1,815	
	                  Brazil	37,060,161	
	                  Brit. Virgin	2,887,025	
	                  Brunei	364,869	
	                  Bulgaria	2,838,974	
	                  Burkina Faso	3,555	
	                  Cambodia	90,874	
	                  Cameroon	12,474	
	                  Canada	55,475,925	
	                  Canary Islands	18,564	
	                  Cayman Islands	8,707,445	
	                  Chad	300	
	                  Chile	8,086,452	
	                  China	40,063,309	
	                  Colombia	5,353,904	
	                  Congo, Rep. of	3,564,905	
	                  Congo (RDC)	4,324,377	
	                  Cook Islands	300	
	                  Costa Rica	1,443,927	
	                  Côte d'Ivoire	1,530,036	
	                  Croatia	1,278,666	
	                  Cuba	145,326	
	                  Cyprus	9,696,056	
	                  Czech Republic	9,234,011	
	                  Denmark	29,920,387	
	                  Djibouti	47,834	
	                  Dominica	30	
	                  Dominican Rep.	1,876,130	
	                  Ecuador	440,633	
	                  Egypt	11,742,973	
	                  El Salvador	107,838	
	                  Emirates, Arab	166,897,024	
	                  Eritrea	12,515	
	                  Estonia	534,485	
	                  Ethiopia	52,348	
	                  Faeroe Islands	188,274	
	                  Fiji	140,441	
	                  Finland	13,187,372	
	                  France	535,369,432	
	                  Gabon	1,568,181	
	                  Gambia	196,690	
	                  Georgia	456,201	
	                  Germany	707,152,854	
	                  Ghana	242,544	
	                  Gibraltar	955,922	
	                  Greece	69,065,183	
	                  Guadeloupe	7,768,506	
	                  Guatemala	1,357,540	
	                  Guiana, French	309,037	
	                  Guinea	217,163	
	                  Guinea, Equat.	3,075	
	                  Guyana	350	
	                  Haiti	120,913	
	                  Holy See	16,950	
	                  Honduras	463,283	
	                  Hong Kong	1,250,230,728	
	                  Hungary	17,843,300	
	                  Iceland	3,906,970	
	                  India	16,540,221	
	                  Indonesia	1,592,597	
	                  Iran	6,317,769	
	                  Ireland	3,621,705	
	                  Israel	31,454,442	
	                  Italy	798,323,494	
	                  Jamaica	9,069,752	
	                  Japan	839,682,177	
	                  Jordan	11,112,114	
	                  Kazakhstan	1,937,714	
	                  Kenya	774,171	
	                  Korea (North)	3,327,998	
	                  Korea (South)	45,560,908	
	                  Kuwait	33,903,223	
	                  Kyrgyz, Rep.	90,887	
	                  Laos	25,950	
	                  Latvia	1,927,027	
	                  Lebanon	15,015,588	
	                  Liberia	59,690	
	                  Libya	4,216,369	
	                  Lithuania	1,112,602	
	                  Luxembourg	6,785,599	
	                  Macau	54,466	
	                  Macedonia	1,618,941	
	                  Madagascar	179,482	
	                  Malawi	2,329	
	                  Malaysia	16,408,216	
	                  Maldives	581,360	
	                  Mali	2,323	
	                  Malta	3,475,838	
	                  Mariana, North.	46,367	
	                  Martinique	240,718	
	                  Mauritania	1,306	
	                  Mauritius	5,742,335	
	                  Mexico	52,442,577	
	                  Moldova	888,001	
	                  Mongolia	6,950	
	                  Morocco	6,353,812	
	                  Mozambique	78,326	
	                  Myanmar	153,222	
	                  Namibia	75,605	
	                  Nepal	1,091,602	
	                  Netherlands	113,812,427	
	                  New Caledonia	363,184	
	                  New Zealand	2,484,525	
	                  Nicaragua	47,960	
	                  Niger	7,374	
	                  Nigeria	3,169,504	
	                  Norway	23,375,660	
	                  Oman	13,129,754	
	                  Pakistan	11,216,059	
	                  Palestine	639,866	
	                  Panama	80,122,616	
	                  Papua	36,283	
	                  Paraguay	10,778,624	
	                  Peru	1,249,365	
	                  Philippines	16,773,320	
	                  Pitcairn Isl.	66,126	
	                  Poland	23,080,491	
	                  Polynesia, Fr.	203,754	
	                  Portugal	63,193,194	
	                  Qatar	30,649,072	
	                  Réunion	198,044	
	                  Romania	1,760,022	
	                  Russia	39,800,859	
	                  San Marino	186,469	
	                  Saudi Arabia	134,646,666	
	                  Senegal	164,941	
	                  Seychelles	120,290	
	                  Sierra Leone	42,295	
	                  Singapore	386,327,229	
	                  Slovakia	1,185,189	
	                  Slovenia	3,404,193	
	                  South Africa	15,829,116	
	                  Spain	299,948,516	
	                  Sri Lanka	1,023,511	
	                  St Kitts	64,170	
	                  St Vincent	32,306	
	                  Sudan	21,634	
	                  Sweden	41,050,296	
	                  Syria	6,956,275	
	                  Taiwan	146,680,126	
	                  Tanzania	134,207	
	                  Thailand	142,620,115	
	                  Togo	1,090	
	                  Tokelau Islands	12,855	
	                  Trinidad	72,107	
	                  Tunisia	1,761,348	
	                  Turkey	38,512,914	
	                  Turkmenistan	250,917	
	                  Turks	827,651	
	                  Uganda	120,619	
	                  Ukraine	9,620,151	
	                  United Kingdom	372,502,742	
	                  Uruguay	25,948,393	
	                  USA	1,530,668,930	
	                  Uzbekistan	490,572	
	                  Vanuatu	36,097	
	                  Venezuela	10,914,093	
	                  Viet Nam	543,150	
	                  Yemen	1,890,514	
	                  Zambia	360,981	
	                  Zimbabwe	91,222	
2000	                  Albania	215,071	
	                  Algeria	581,374	
	                  Am. Oceania	11,936,691	
	                  Amer. Virgin	31,642,985	
	                  Andorra	4,276,752	
	                  Angola	162,433	
	                  Anguilla	2,310	
	                  Antigua	1,707,780	
	                  Argentina	19,800,406	
	                  Armenia	1,139,297	
	                  Aruba	6,506,010	
	                  Australia	109,892,251	
	                  Austria	108,685,326	
	                  Azerbaijan	923,768	
	                  Bahamas	20,411,778	
	                  Bahrain	35,985,662	
	                  Bangladesh	3,370,732	
	                  Barbados	1,333,936	
	                  Belarus	2,256,981	
	                  Belgium	106,060,344	
	                  Belize	124,971	
	                  Bermuda	5,489,728	
	                  Bhutan	211,826	
	                  Bolivia	1,030,728	
	                  Bosnia-Herzeg.	938,511	
	                  Botswana	2,678	
	                  Brazil	45,051,887	
	                  Brit. Virgin	3,802,654	
	                  Brunei	281,041	
	                  Bulgaria	2,432,510	
	                  Burkina Faso	29,675	
	                  Cambodia	534,571	
	                  Cameroon	19,118	
	                  Canada	66,175,851	
	                  Canary Islands	53,412	
	                  Cayman Islands	12,897,922	
	                  Chile	10,056,305	
	                  China	45,041,176	
	                  Colombia	6,212,268	
	                  Congo, Rep. of	44,720	
	                  Congo (RDC)	2,972,957	
	                  Costa Rica	2,346,869	
	                  Côte d'Ivoire	497,231	
	                  Croatia	4,794,210	
	                  Cuba	199,116	
	                  Cyprus	11,009,440	
	                  Czech Republic	9,145,783	
	                  Denmark	33,726,222	
	                  Djibouti	10,291	
	                  Dominica	120	
	                  Dominican Rep.	2,789,178	
	                  Ecuador	795,970	
	                  Egypt	16,630,143	
	                  El Salvador	90,258	
	                  Emirates, Arab	180,540,550	
	                  Estonia	728,607	
	                  Ethiopia	1,900	
	                  Fiji	6,879	
	                  Finland	14,710,703	
	                  France	652,895,274	
	                  Gabon	803,410	
	                  Gambia	324,108	
	                  Georgia	352,176	
	                  Germany	716,222,217	
	                  Ghana	135,340	
	                  Gibraltar	1,042,049	
	                  Greece	73,244,548	
	                  Greenland	200	
	                  Guadeloupe	10,187,998	
	                  Guatemala	1,321,211	
	                  Guiana, French	26,876	
	                  Guinea	90,160	
	                  Guyana	12,946	
	                  Haiti	248,943	
	                  Holy See	56	
	                  Honduras	38,399	
	                  Hong Kong	1,423,169,852	
	                  Hungary	21,272,828	
	                  Iceland	4,229,666	
	                  India	21,925,856	
	                  Indonesia	3,099,426	
	                  Iran	9,832,072	
	                  Iraq	9,615	
	                  Ireland	4,043,007	
	                  Israel	40,830,678	
	                  Italy	883,320,151	
	                  Jamaica	11,453,037	
	                  Japan	928,406,122	
	                  Jordan	11,137,911	
	                  Kazakhstan	3,814,100	
	                  Kenya	793,079	
	                  Korea (North)	5,344,752	
	                  Korea (South)	68,478,982	
	                  Kuwait	40,718,407	
	                  Kyrgyz, Rep.	123,062	
	                  Latvia	2,739,310	
	                  Lebanon	18,477,565	
	                  Liberia	93,993	
	                  Libya	2,106,855	
	                  Lithuania	1,389,003	
	                  Luxembourg	8,828,399	
	                  Macau	75,695	
	                  Macedonia	302,417	
	                  Madagascar	76,691	
	                  Malawi	4,196	
	                  Malaysia	26,247,514	
	                  Maldives	513,074	
	                  Mali	25,950	
	                  Malta	4,333,047	
	                  Mariana, North.	140	
	                  Martinique	181,801	
	                  Mauritius	3,861,597	
	                  Mexico	62,865,315	
	                  Moldova	3,427,378	
	                  Morocco	10,481,567	
	                  Mozambique	183,745	
	                  Myanmar	322,323	
	                  Namibia	119,725	
	                  Nepal	1,204,310	
	                  Netherlands	114,518,987	
	                  New Caledonia	467,884	
	                  New Zealand	3,009,386	
	                  Nicaragua	27,654	
	                  Niger	100,981	
	                  Nigeria	2,698,140	
	                  Norway	23,901,233	
	                  Oman	20,343,126	
	                  Pakistan	13,515,336	
	                  Palestine	889,402	
	                  Panama	82,287,816	
	                  Papua	8,377	
	                  Paraguay	9,078,760	
	                  Peru	857,113	
	                  Philippines	14,646,555	
	                  Poland	23,649,471	
	                  Polynesia, Fr.	276,909	
	                  Portugal	67,229,281	
	                  Qatar	32,978,088	
	                  Réunion	253,220	
	                  Romania	2,832,050	
	                  Russia	80,621,772	
	                  Saint Helena	1,444	
	                  San Marino	80,009	
	                  Sao Tomé	284,129	
	                  Saudi Arabia	142,040,875	
	                  Senegal	125,410	
	                  Seychelles	251,199	
	                  Sierra Leone	25,924	
	                  Singapore	422,479,483	
	                  Slovakia	1,343,077	
	                  Slovenia	3,275,956	
	                  Somalia	24,074	
	                  South Africa	19,885,051	
	                  Spain	329,273,161	
	                  Sri Lanka	643,192	
	                  St Kitts	22,506	
	                  St Lucia	760,233	
	                  St Vincent	88,805	
	                  Sudan	4,860	
	                  Sweden	45,401,590	
	                  Syria	9,773,060	
	                  Taiwan	185,752,774	
	                  Tanzania	179,712	
	                  Thailand	192,678,583	
	                  Togo	3,600	
	                  Trinidad	81,639	
	                  Tunisia	3,066,083	
	                  Turkey	58,701,469	
	                  Turkmenistan	379,060	
	                  Turks	829,565	
	                  Uganda	105,808	
	                  Ukraine	14,235,268	
	                  United Kingdom	429,443,886	
	                  Uruguay	18,853,212	
	                  USA	1,846,960,408	
